landing_cycles,load_during_landing,taxiing_duration,speed_during_landing,braking_force,tire_pressure,hydraulic_pressure,shock_absorber_failure,tire_wear,brake_degradation,hydraulic_system_failure,RUL,runway_condition_snowy,runway_condition_wet
1,54.2361625757168,15.96511066358971,122.6544702148177,38.79300665611775,37.6905327913295,2735.909047713604,0,0,1,1,498,0,0
1,44.4442363212601,13.55039423487492,129.3964894196403,35.11316517458535,36.71945483698101,2965.584917306956,0,0,1,0,498,0,0
1,56.59604865112886,17.59866652997501,163.282770034393,40.84979007302037,37.7621916358595,3004.009781564739,0,1,1,0,498,1,0
1,46.48283012182736,8.758626219851369,166.8412129110785,34.08857732958654,33.60048828971935,3109.072900484893,0,0,0,0,498,1,0
1,74.6987198502938,12.25227704594977,142.424981006526,56.75303528024315,33.51011353301966,2954.852037369419,1,1,1,0,498,0,0
1,49.12474616254377,27.31506844387512,160.6575738367558,35.81719172960226,35.33987333774947,3229.185042391967,0,0,1,0,498,1,0
1,63.38646411544644,12.42182982959836,142.7651735419145,47.72601230506667,39.2603983795398,2576.627148687409,0,1,1,1,498,0,0
1,58.32682426574144,19.46736447212995,145.1885689756999,41.81177305243182,34.7697223526413,2842.908969623242,0,1,1,0,498,1,0
1,44.96099373351157,16.06190043011745,138.1402001502143,41.36605423285039,34.07008471813355,2757.762306899018,0,1,1,1,498,0,0
1,47.5764651800911,8.227001694636789,139.5518202651844,35.5400973547742,34.79172215472021,2803.142261084823,0,0,1,0,498,0,0
1,58.97079776446287,13.40495984763573,145.1897573874834,49.26085664767428,34.48094920402023,3011.907856831031,0,1,1,0,498,0,0
1,54.61322824743412,22.42700261785211,134.2166738913927,36.26080638935626,35.77733722173289,3171.175767030362,0,0,1,0,498,1,0
1,50.928325705181,11.25808409654483,155.5633615207238,40.80005794166954,36.94021582005554,2902.395492070344,0,1,1,0,498,1,0
1,43.04226516904635,12.14962330407673,160.1368834925864,42.01865974728925,34.45878078078626,2991.210660566985,0,1,1,0,498,0,1
1,63.82278913446575,15.35888913118847,134.0987294129891,40.38673753068633,33.42348773455228,2894.414804963151,0,1,1,0,498,0,1
1,38.46997142216556,14.43089836908208,150.8960284416873,38.21824299240225,33.3729844127854,3220.279525183284,0,0,1,0,498,1,0
1,53.29965191145163,19.67986579632809,118.7751782465724,34.76767103703814,35.03030709116141,2910.543562592906,0,0,0,0,498,0,1
1,51.96990209724665,10.1730192040915,144.2504644003426,36.35310749846048,34.8235441470777,3304.245138401762,0,0,1,0,498,0,1
1,31.84384821435354,11.56261686798237,142.7072600674771,43.33838671245215,34.35395197250585,3033.262205301229,0,1,1,0,498,0,0
1,62.4070290498447,9.144794801690919,154.1481077738504,49.91084355412984,29.73926292465126,2741.072809647536,0,1,1,1,498,0,0
1,66.77797933004514,17.78893361943081,155.9756905861825,43.06966389589159,32.37811407160883,3200.038212483193,0,1,1,0,498,0,1
1,58.13154742614022,11.75739185247673,99.36327616385769,51.16278077363793,35.09482976564166,3034.133495085724,0,1,1,0,498,0,0
